PhraseId,Predicted,Sentiment
9419,2,1
87342,2,2
86388,2,2
11837,2,2
72022,2,1
26494,2,3
97541,2,3
35923,2,2
78023,2,3
151881,2,2
154588,2,2
104284,2,2
155520,2,2
22307,2,2
101672,2,2
71145,2,2
88002,2,2
25555,2,2
42449,2,1
7490,2,2
3352,2,2
110855,2,4
60461,3,4
29159,2,2
110819,2,4
89793,2,1
87508,2,3
26136,3,1
149205,2,1
7693,2,1
2448,3,2
120824,2,3
53128,3,4
179,3,3
44929,2,3
22722,3,2
119596,2,2
34674,2,2
141861,2,2
84946,2,2
16433,2,2
120426,2,2
133972,2,2
65285,2,1
138972,2,2
126381,2,4
29668,2,3
69728,3,2
132196,2,2
112177,2,1
94664,2,2
104882,2,2
17834,2,2
56632,2,3
144399,2,2
52617,2,2
26943,2,2
89185,2,1
3746,3,4
84872,2,1
126822,2,2
108440,2,2
101531,3,3
136274,2,2
56696,2,1
92220,2,2
36746,2,2
148933,2,3
64623,2,2
48012,2,2
114964,2,2
2858,3,4
93501,3,2
152219,2,1
89897,2,3
130095,2,2
44477,3,2
89344,2,3
42695,2,1
123736,2,3
68262,2,2
69498,2,3
84811,2,2
137664,2,3
89480,2,2
72554,2,4
96445,2,1
19134,2,3
73279,2,2
93814,3,4
42732,2,2
76252,2,2
147559,2,2
20310,2,3
125387,2,1
132880,2,3
93430,2,2
75971,2,2
154955,2,3
82197,3,3
133251,2,2
44047,2,2
19768,3,2
57768,3,2
89373,2,1
90064,2,1
69568,2,2
32284,3,3
142241,3,3
2838,2,2
1166,3,2
17199,3,4
122254,2,4
28322,2,2
89917,2,2
136829,1,2
123734,2,2
127893,3,3
57670,3,3
63264,2,3
11674,3,2
16077,2,1
42641,2,2
60407,2,2
154899,2,3
100421,2,3
69437,2,2
72350,2,2
139242,2,1
43008,2,1
64630,3,4
129862,2,2
119603,2,2
126461,2,2
116630,2,1
146711,2,2
71748,2,3
55977,3,3
155196,2,2
94628,2,1
9387,2,3
14372,2,2
151906,2,2
81525,3,2
153226,2,2
81772,2,3
49741,2,2
5997,2,2
137750,2,2
114225,3,1
94570,2,0
95162,2,2
2954,2,2
89332,2,2
72995,2,1
23450,2,2
67587,2,3
41035,3,4
16473,2,2
13348,2,0
131607,2,1
108090,2,0
55414,2,2
107770,2,1
56582,2,2
109416,2,2
49242,2,0
137983,2,3
62328,2,1
89376,2,2
150509,2,1
149633,2,1
103278,2,3
42604,2,2
134903,2,3
44955,2,2
45398,2,3
88950,2,2
35791,3,3
64983,2,1
148171,2,1
89770,2,3
89068,2,2
35184,2,1
60860,2,1
18686,2,3
16544,2,2
12743,2,2
91664,2,2
6149,2,2
66049,2,2
13099,2,2
61941,3,2
110928,2,1
6361,2,2
113670,3,2
64923,2,3
58188,2,2
18812,2,3
142450,3,3
143524,2,2
90454,3,1
12756,3,1
108572,2,3
83559,2,3
46419,3,3
32469,2,3
102527,2,2
130370,2,0
7553,2,3
76497,2,3
104653,2,2
4473,2,3
34287,2,3
