PhraseId,Predicted,Sentiment
1,1,1
2,2,2
3,2,2
4,2,2
5,2,2
6,2,2
7,2,2
8,2,2
9,2,2
10,2,2
11,2,2
12,2,2
13,2,2
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,3,3
23,3,3
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,1,1
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,1,2
47,2,3
48,1,1
49,2,2
50,1,1
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
58,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,2,2
64,4,4
65,3,3
66,2,2
67,4,4
68,3,3
69,2,2
70,3,3
71,3,3
72,2,3
73,2,2
74,2,2
75,4,4
76,2,2
77,3,3
78,3,4
79,2,2
80,3,2
81,2,2
82,1,1
83,2,2
84,2,2
85,2,2
86,2,3
87,2,2
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,1,1
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,1,1
102,1,0
103,2,2
104,0,0
105,2,2
106,1,1
107,1,1
108,1,1
109,2,2
110,2,2
111,1,1
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,4,3
118,4,4
119,4,4
120,3,3
121,2,3
122,2,3
123,2,3
124,2,4
125,2,2
126,2,2
127,2,2
128,2,2
129,2,2
130,2,2
131,2,2
132,1,1
133,2,2
134,3,3
135,2,2
136,2,1
137,2,2
138,2,1
139,2,1
140,2,2
141,2,1
142,2,1
143,2,2
144,2,2
145,2,2
146,1,1
147,2,2
148,2,2
149,2,1
150,2,2
151,2,3
152,1,3
153,2,3
154,1,1
155,2,2
156,2,2
157,0,1
158,0,0
159,2,2
160,0,0
161,1,1
162,2,2
163,1,1
164,1,1
165,1,2
166,2,2
167,4,4
168,3,3
169,2,2
170,2,2
171,3,3
172,2,2
173,2,4
174,2,2
175,3,3
176,2,2
177,3,4
178,3,3
179,3,3
180,2,3
181,3,4
182,2,2
183,4,4
184,4,4
185,3,3
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,2,2
193,2,2
194,2,2
195,2,2
196,2,1
197,2,2
198,2,2
199,1,1
200,2,2
201,1,1
202,1,0
203,2,2
204,1,1
205,2,2
206,2,2
207,2,2
208,1,1
209,1,0
210,1,1
211,0,0
212,1,1
213,1,1
214,3,3
215,2,2
216,3,3
217,2,2
218,3,3
219,2,2
220,2,2
221,3,3
222,3,3
223,2,2
224,2,2
225,3,3
226,2,2
227,3,3
228,2,2
229,2,2
230,3,2
231,2,2
232,2,2
233,3,3
234,2,2
235,2,2
236,2,2
237,2,2
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,1,1
249,1,1
250,1,1
251,1,1
252,3,1
253,2,2
254,2,2
255,2,2
256,2,2
257,1,1
258,2,2
259,2,2
260,1,1
261,1,1
262,1,0
263,2,2
264,1,1
265,0,0
266,0,0
267,2,2
268,2,2
269,2,2
270,2,2
271,2,2
272,1,1
273,2,2
274,1,1
275,1,1
276,1,1
277,1,1
278,2,2
279,2,2
280,2,2
281,4,4
282,3,3
283,2,2
284,2,2
285,2,2
286,2,1
287,2,2
288,2,2
289,1,2
290,2,2
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,2,2
297,2,2
298,1,1
299,2,2
300,3,3
301,2,2
302,2,2
303,3,3
304,3,4
305,3,3
306,2,3
307,1,1
308,2,2
309,2,2
310,3,3
311,2,2
312,2,0
313,2,2
314,2,2
315,2,2
316,2,2
317,2,2
318,2,2
319,2,2
320,2,2
321,2,2
322,2,2
323,2,2
324,2,2
325,2,2
326,2,2
327,2,3
328,2,2
329,2,2
330,2,2
331,2,2
332,2,2
333,2,2
334,2,2
335,2,2
336,1,1
337,2,2
338,1,1
339,1,1
340,2,2
341,2,2
342,3,3
343,2,2
344,2,2
345,2,2
346,2,2
347,2,2
348,2,2
349,2,2
350,2,2
351,2,2
352,2,2
353,4,4
354,1,2
355,1,2
356,4,4
357,4,3
358,2,2
359,4,4
360,2,2
361,3,3
362,2,2
363,3,4
364,3,3
365,2,2
366,3,3
367,3,3
368,2,2
369,3,3
370,2,2
371,2,2
372,2,2
373,3,3
374,2,2
375,2,2
376,2,2
377,2,2
378,1,1
379,2,2
380,2,2
381,2,2
382,2,2
383,2,2
384,2,2
385,2,4
386,2,2
387,2,2
388,2,2
389,2,2
390,2,2
391,2,2
392,2,2
393,2,2
394,2,2
395,2,2
396,2,2
397,2,2
398,2,2
399,2,3
400,1,1
401,1,1
402,2,2
403,2,2
404,2,2
405,3,3
406,3,3
407,2,2
408,3,3
409,3,3
410,2,2
411,2,2
412,2,2
413,2,2
414,2,2
415,2,2
416,2,2
417,2,2
418,2,2
